Time,App name,No.,Source,Destination,Protocol,Length
5.479917,WhatsApp,111.0,172.30.1.1,172.30.1.250,TCP,88
5.479938,WhatsApp,112.0,172.30.1.250,172.30.1.1,TCP,88
5.480057,WhatsApp,113.0,172.30.1.1,172.30.1.250,TCP,128
5.480114,WhatsApp,114.0,172.30.1.250,172.30.1.1,TCP,88
5.480233,WhatsApp,115.0,172.30.1.1,172.30.1.250,TCP,88
5.480255,WhatsApp,116.0,172.30.1.250,172.30.1.1,TCP,88
5.480394,WhatsApp,117.0,172.30.1.1,172.30.1.250,TCP,88
5.480417,WhatsApp,118.0,172.30.1.250,172.30.1.1,TCP,88
5.518375,Google Play service,119.0,172.30.1.250,172.30.1.1,TLSv1.3,756
5.520357,Google Play service,120.0,172.30.1.1,172.30.1.250,TLSv1.3,128
5.520448,Google Play service,121.0,172.30.1.250,172.30.1.1,TCP,88
5.564803,Google Play service,122.0,172.30.1.1,172.30.1.250,TLSv1.3,828
5.564925,Google Play service,123.0,172.30.1.250,172.30.1.1,TCP,88
5.565213,Google Play service,124.0,172.30.1.1,172.30.1.250,TLSv1.3,4000
5.565301,Google Play service,125.0,172.30.1.250,172.30.1.1,TCP,88
5.61781,WhatsApp,126.0,172.30.1.250,172.30.1.1,TCP,340
5.61811,WhatsApp,127.0,172.30.1.1,172.30.1.250,TCP,88
5.6767,WhatsApp,128.0,172.30.1.250,172.30.1.1,TCP,132
5.677179,WhatsApp,129.0,172.30.1.1,172.30.1.250,TCP,88
5.695219,Google Play service,130.0,172.30.1.250,172.30.1.1,TLSv1.3,152
5.703757,Google Play service,131.0,172.30.1.250,172.30.1.1,TLSv1.3,472
5.703993,Google Play service,132.0,172.30.1.250,172.30.1.1,TLSv1.3,128
5.704384,Google Play service,133.0,172.30.1.1,172.30.1.250,TCP,88
5.707288,Google Play service,134.0,172.30.1.1,172.30.1.250,TLSv1.3,128
5.707387,Google Play service,135.0,172.30.1.250,172.30.1.1,TCP,88
5.723553,Google Play service,136.0,172.30.1.1,172.30.1.250,TLSv1.3,828
5.723778,Google Play service,137.0,172.30.1.250,172.30.1.1,TCP,88
5.724383,Google Play service,138.0,172.30.1.1,172.30.1.250,TLSv1.3,2096
5.724558,Google Play service,139.0,172.30.1.250,172.30.1.1,TCP,88
5.809692,Google Play service,140.0,172.30.1.250,172.30.1.1,TLSv1.3,560
5.814841,Google Play service,141.0,172.30.1.1,172.30.1.250,TLSv1.3,128
5.815361,Google Play service,142.0,172.30.1.250,172.30.1.1,TCP,88
6.189024,Google Play service,143.0,172.30.1.1,172.30.1.250,TLSv1.3,148
6.189445,Google Play service,144.0,172.30.1.250,172.30.1.1,TCP,88
6.19112,Google Play service,145.0,172.30.1.1,172.30.1.250,TCP,10048
6.191237,Google Play service,146.0,172.30.1.1,172.30.1.250,TLSv1.3,6532
6.191526,Google Play service,147.0,172.30.1.250,172.30.1.1,TCP,88
6.194026,Google Play service,148.0,172.30.1.1,172.30.1.250,TCP,10048
6.194193,Google Play service,149.0,172.30.1.1,172.30.1.250,TLSv1.3,6532
6.19447,Google Play service,150.0,172.30.1.250,172.30.1.1,TCP,88
6.195621,Google Play service,151.0,172.30.1.1,172.30.1.250,TCP,10048
6.195764,Google Play service,152.0,172.30.1.1,172.30.1.250,TLSv1.3,6532
6.19587,Google Play service,153.0,172.30.1.250,172.30.1.1,TCP,88
6.196579,Google Play service,154.0,172.30.1.1,172.30.1.250,TCP,10048
6.196694,Google Play service,155.0,172.30.1.1,172.30.1.250,TLSv1.3,6532
6.196861,Google Play service,156.0,172.30.1.250,172.30.1.1,TCP,88
6.19756,Google Play service,157.0,172.30.1.1,172.30.1.250,TLSv1.3,1576
6.19784,Google Play service,158.0,172.30.1.250,172.30.1.1,TCP,88
6.393488,Messages,159.0,172.30.1.1,172.30.1.250,DNS,132
6.682314,Messages,160.0,172.30.1.250,172.30.1.1,DNS,148
6.691283,Messages,161.0,172.30.1.1,172.30.1.250,TCP,108
6.723175,Google News,162.0,172.30.1.1,172.30.1.250,DNS,108
6.768222,Messages,163.0,172.30.1.250,172.30.1.1,TCP,96
6.768407,Google News,164.0,172.30.1.250,172.30.1.1,DNS,124
6.768801,Messages,165.0,172.30.1.1,172.30.1.250,TCP,88
6.769501,Messages,166.0,172.30.1.1,172.30.1.250,TLSv1.3,848
6.76976,Messages,167.0,172.30.1.250,172.30.1.1,TCP,88
6.772788,Google News,168.0,172.30.1.1,172.30.1.250,TCP,108
6.823787,Google News,169.0,172.30.1.250,172.30.1.1,TCP,96
6.824117,Google News,170.0,172.30.1.1,172.30.1.250,TCP,88
6.825355,Google News,171.0,172.30.1.1,172.30.1.250,TLSv1.3,684
6.825966,Google News,172.0,172.30.1.250,172.30.1.1,TCP,88
6.830253,Messages,173.0,172.30.1.250,172.30.1.1,TLSv1.3,436
6.830556,Messages,174.0,172.30.1.1,172.30.1.250,TCP,88
6.831782,Messages,175.0,172.30.1.1,172.30.1.250,TLSv1.3,160
6.83184,Messages,176.0,172.30.1.250,172.30.1.1,TCP,88
6.833166,Messages,177.0,172.30.1.1,172.30.1.250,TLSv1.3,184
6.83322,Messages,178.0,172.30.1.250,172.30.1.1,TCP,88
6.833784,Messages,179.0,172.30.1.1,172.30.1.250,TLSv1.3,436
6.833843,Messages,180.0,172.30.1.250,172.30.1.1,TCP,88
6.834451,Messages,181.0,172.30.1.1,172.30.1.250,TLSv1.3,368
6.834571,Messages,182.0,172.30.1.250,172.30.1.1,TCP,88
6.834815,Messages,183.0,172.30.1.1,172.30.1.250,TLSv1.3,120
6.834838,Messages,184.0,172.30.1.250,172.30.1.1,TCP,88
6.88381,Messages,185.0,172.30.1.250,172.30.1.1,TLSv1.3,1020
6.884043,Messages,186.0,172.30.1.1,172.30.1.250,TCP,88
6.885004,Messages,187.0,172.30.1.1,172.30.1.250,TLSv1.3,120
6.885096,Messages,188.0,172.30.1.250,172.30.1.1,TCP,88
6.893027,Google News,189.0,172.30.1.250,172.30.1.1,TLSv1.3,300
6.893576,Google News,190.0,172.30.1.1,172.30.1.250,TCP,88
6.894667,Google News,191.0,172.30.1.1,172.30.1.250,TLSv1.3,152
6.894737,Google News,192.0,172.30.1.250,172.30.1.1,TCP,88
6.895607,Google News,193.0,172.30.1.1,172.30.1.250,TLSv1.3,184
6.895662,Google News,194.0,172.30.1.250,172.30.1.1,TCP,88
6.89877,Google News,195.0,172.30.1.1,172.30.1.250,TLSv1.3,1268
6.898855,Google News,196.0,172.30.1.250,172.30.1.1,TCP,88
6.899508,Google News,197.0,172.30.1.1,172.30.1.250,TLSv1.3,296
6.899533,Google News,198.0,172.30.1.250,172.30.1.1,TCP,88
6.920737,Messages,199.0,172.30.1.250,172.30.1.1,TLSv1.3,396
6.920916,Messages,200.0,172.30.1.1,172.30.1.250,TCP,88
6.922819,Messages,201.0,172.30.1.250,172.30.1.1,TLSv1.3,124
6.922883,Messages,202.0,172.30.1.1,172.30.1.250,TCP,88
6.935614,Google News,203.0,172.30.1.250,172.30.1.1,TLSv1.3,700
6.935799,Google News,204.0,172.30.1.1,172.30.1.250,TCP,88
6.935822,Google News,205.0,172.30.1.250,172.30.1.1,TLSv1.3,120
6.935875,Google News,206.0,172.30.1.1,172.30.1.250,TCP,88
6.940605,Google News,207.0,172.30.1.1,172.30.1.250,TLSv1.3,120
6.940721,Google News,208.0,172.30.1.250,172.30.1.1,TCP,88
6.992368,Google News,209.0,172.30.1.250,172.30.1.1,TLSv1.3,560
6.992525,Google News,210.0,172.30.1.1,172.30.1.250,TCP,88
6.997583,Google News,211.0,172.30.1.1,172.30.1.250,TLSv1.3,128
6.997701,Google News,212.0,172.30.1.250,172.30.1.1,TCP,88
7.24873,Google Play service,213.0,172.30.1.250,172.30.1.1,TLSv1.3,840
7.257783,Google Play service,214.0,172.30.1.1,172.30.1.250,TLSv1.3,128
7.258067,Google Play service,215.0,172.30.1.250,172.30.1.1,TCP,88
7.314504,Google Play service,216.0,172.30.1.1,172.30.1.250,TLSv1.3,148
7.314551,Google Play service,217.0,172.30.1.1,172.30.1.250,TLSv1.3,3868
7.314762,Google Play service,218.0,172.30.1.250,172.30.1.1,TCP,88
7.419015,Google Play service,219.0,172.30.1.250,172.30.1.1,TLSv1.3,520
7.420554,Google Play service,220.0,172.30.1.250,172.30.1.1,TLSv1.3,400
7.420986,Google Play service,221.0,172.30.1.1,172.30.1.250,TCP,88
7.425434,Google Play service,222.0,172.30.1.1,172.30.1.250,TLSv1.3,128
7.425678,Google Play service,223.0,172.30.1.250,172.30.1.1,TCP,88
7.471234,Google Play service,224.0,172.30.1.1,172.30.1.250,TLSv1.3,148
7.471386,Google Play service,225.0,172.30.1.250,172.30.1.1,TCP,88
7.47178,Google Play service,226.0,172.30.1.1,172.30.1.250,TLSv1.3,4100
7.471903,Google Play service,227.0,172.30.1.250,172.30.1.1,TCP,88
7.576047,Google Play service,228.0,172.30.1.250,172.30.1.1,TLSv1.3,736
7.585242,Google Play service,229.0,172.30.1.1,172.30.1.250,TLSv1.3,128
7.585341,Google Play service,230.0,172.30.1.250,172.30.1.1,TCP,88
7.604735,Google Play service,231.0,172.30.1.1,172.30.1.250,TLSv1.3,148
7.60488,Google Play service,232.0,172.30.1.250,172.30.1.1,TCP,88
7.605215,Google Play service,233.0,172.30.1.1,172.30.1.250,TLSv1.3,916
7.605283,Google Play service,234.0,172.30.1.250,172.30.1.1,TCP,88
7.69135,Google Play service,235.0,172.30.1.250,172.30.1.1,TLSv1.3,500
